7;LOC_FILE;number of lines of code
8;NOCLASSDECL;number of class declarations
9;NOCONSTDECL;number of constant declarations
10;NODATADECL;number of variable declarations
11;NOCOMMSECT;number of comment sections
12;BYTESCOMM;bytes of comment
13;LINESCOMM;lines of comment
14;NOMACROS;number of macros defined
15;NOLOCALINC;number of local includes
16;NOSYSINC;number of system includes
18;INCLDIRECTIVES;number of include directives in the file
65;LOC_CLASS;lines of code in the class
66;NOMETH;number of methods
129;LOC_METHOD;lines of code in method
130;NOOPUSED;number of operands used
131;NODISOPUSED;number of distinct operands used
132;NOOPRUSED;number of operators used
133;NODISOPRUSED;number of distinct operators used
134;NORET;number of returns
135;CYCLOMATIC;cyclomatic complexity
136;NOINDPATHS;number of independent paths
17;NO3DPINC;number of 3rd party includes
19;NOROUTINES;number of functions and methods in the file 
20;RNOCALLS;number of calls to others routines for all routines of the file 
21;RNOCONDARCS;number of conditional arcs for all routines of the file 
22;RMAXCONDSPAN;maximal conditional span for all routines of the file 
23;RMAXLEVEL;maximal value of control nesting for all routines of the file 
24;RNOINDPATHS;sum of logarithms of the numbers of independent paths for all routines of the file 
25;RNOOPUSED;number of operands for all routines in the file 
26;RNOOPRUSED;number of operators for all routines in the file 
27;RCYCLOMATIC;sum of McCabe Cyclomatic complexities for all routines in the file 
28;RNOCONTROLSTAT;number of control statements in the file 
29;RNOLOCDECL;number of data items declared local for all routines in the file 
30;RNOEXSTAT;number of executable statements for all routines in the file 
31;RLOC;number of lines of code for all routines in the file 
32;RNODECLSTAT;number of declarative statements for all routines in the file 
33;RNOSTAT;number of statements for all routines in the file 
34;RISK;Complexity Risk for the file 
35;RNOACCTOGLOB;number of occurences of global variable usage for all routines in the file 
36;CNOMETH;number of methods for all classes of the file (includes stand-alone methods in c++) 
37;CNOMSG;number of ways a class can be accessed for all classes of the file 
149;MAXCONDSPAN;maximal number of executable statements located within conditional arc
150;NOCONDARCS;number of conditional arcs in the control graph of function
151;NOCONTROLSTAT;number of control statements in function/method
152;NOMDECLSTAT;number of declarative statements in function/method
153;NOACCTOGLOB;number of accesses to global variables
70;NOPRIVDATADEC;number of private attributes for the class
71;NOPROTDATADECL;number of protected attributes for the class
72;NOPUBDATADECL;number of public attributes for the class
73;NOSTDATADECL;number of static attributes for the class
74;NOPRIVMETH;number of private methods in the class
75;NOPROTMETH;number of protected methods in the class
76;NOPUBMETH;number of public methods in the class
77;NOMSG;number of ways class can be accessed
69;NODATACLASS;number of object declarations in the class
38;HALSTEADVOL;halstead volume of file
39;BLANKLINES;number of blank lines in the file
40;DIRECTIVES;number of compiler directives in the file
41;BYTESGLDATADECL;bytes of global variables declared
42;MAXINCNEST;max include nesting
43;TOTALINC;total number of included files
44;CHECKSUM;checksum for file
45;NCNBLOC_FILE;non-comment non-blank source lines in the file
46;NOMISINCL_FILE;number of missing includes in the file
47;NOSYNERR_FILE;number of syntax/parsing errors in the file
48;ASMLOC_FILE;asm source lines in the file
78;NOPTRDECL;number of pointers items in the class
79;HASPTRWODESTR;class has pointers without destructor
80;NOINLINEMETH;number of in-line methods in the class
81;BYTESDATADECL;bytes of data item declared in the class
82;NOCONSTMETH;number of const methods in the class
83;NOVIRTMETH;number of pure virtual methods
84;NCNBLOC_CLASS;non-comment non-blank source lines in the class
154;BYTESLOCDECL;bytes of local variables declared
155;BYTESPARMS;bytes of parameters for the function
156;BYTESPAROTHER;bytes of parameters passed to other functions
159;NOCALLSNP;number of calls to non-prototyped functions
160;READFGLOBAL;number of reads from globals
161;WRITETGLOBAL;number of writes to global
162;NCNBLOC_METHOD;non-comment non-blank source lines in function/method
163;BYTESSTACKSIZE;bytes occupied on stack by parameters and variables declared in function
164;EXTCYCLOMATIC;extended cyclomatic complexity
165;PLAINCYCLOMATIC;plain cyclomatic complexity
166;PLAINEXTCYCLOMATIC;plain extended cyclomatic complexity
137;NOPARMS;number of parameters
138;NOCALLS;number of calls
139;NOCALLSOC;number of calls to methods from other classes
140;NOPAROTHER;number of parameters passed to other functions
141;NOEXSTAT;number of expression statements
142;NOSTAT;number of statements
143;NOLOOPS;number of loops
144;NOIF;number of conditional statements
145;NOBRANCH;number of branches
146;MAXLEVEL;maximum level of control nesting
147;AVERLEVEL;average level of control nesting
148;NOLOCDECL;number of local declarations
67;LEVINHER;level of inheritance
68;NOCLASSDATADECL;number of data declarations in the class
